GeneSymbol	Fetal Mesenchymal Stem Cells	CD14+ Monocytes	CD8+ Activated T Cells	Naive CD4+ T Cells	Naive CD8+ T Cells	Natural Killer T Cells	B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Cytotrophoblast	Fetal Nucleated Red Blood Cells	Maternal FCGR3A+ Monocytes	Maternal Plasma Cells	Fetal Extravillous Trophoblasts
A1BG	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
A2M	173.43112009520797301	12.22725694909411764	49.41415277627480407	76.76412294429258054	18.25165171798317232	0.00000000000000000	41.23967237612859549	0.00000000000000000	74.02492347171761367	890.18724024956634366	0.00000000000000000	547.83204318630168927	2053.45322234785135151	0.98364834950405000	130.71669465524402654	36.89663412359534078	1298.85537566448579128	164.77830408656771510	0.00000000000000000	36.87307413644760601
A2M.AS1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
AADACL3	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	23.91385080974099608
AAK1	17.62938731755104982	32.93094275204280308	147.28159041842283727	112.13297044761776533	92.32531582307728968	152.92432508759205234	3.76407212920023326	214.59022425598294603	164.58384375936469723	60.50390269930629472	0.00000000000000000	126.01785388453924952	34.96570360685684165	0.00000000000000000	25.56698446165217575	81.05014634848025423	0.00000000000000000	23.73884329353190026	0.00000000000000000	13.91520533080252697
AASS	25.16722788877598305	0.36679853954670216	2.34441183848703316	1.13597692948211515	2.13576641081531315	0.00000000000000000	7.36609095731562036	0.00000000000000000	3.14569418070150109	13.48176092219914146	10.48953011121519729	9.47241416164021999	9.99278765046149076	0.00000000000000000	13.15800872471626626	14.73022050407635497	4.56242339250403184	1.69621382130108267	0.27273611872587739	2.19347737709208124
ABCA1	29.47261674513803698	132.63865004506018863	0.00000000000000000	4.61146411482371299	0.00000000000000000	0.00000000000000000	13.24069092450133311	6.51657882702914559	0.00000000000000000	147.38099867967687828	72.54430961875851835	47.75534908215102092	98.18496177752439280	1.92484178796706407	0.00000000000000000	72.60504313375817276	0.00000000000000000	92.91054180671892482	0.00000000000000000	38.27694740029956222
ABCA3	2.35120089746576433	0.12954659979999933	1.57806558496574589	1.04131077439683351	3.65192625413281924	5.19548827031570859	1.01572095330133916	3.38863823219017268	6.26495525591211244	4.18279625936622423	11.35182206758865497	0.00000000000000000	51.41227950449446382	13.29606295000390581	3.56804032874046539	0.43201424443558767	0.00000000000000000	2.33737875986427968	8.62001863318185180	0.94958900543308444
ABCA6	4.01129056946266616	1.37867181608149747	0.75868508687180691	0.63717711672305921	2.01807783959631015	1.11148276435498650	0.97975547775272009	0.00000000000000000	0.00000000000000000	27.65038798514244078	6.68999771878579619	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.38118289885529544	0.74278911091553423	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
ABCA7	2.15992618744744647	6.42599865112322188	6.56360772747464871	4.65844774440835163	1.30697394741090545	8.17827679506882355	4.70387091149189551	0.00000000000000000	6.56412762829495566	3.50637985841322264	0.00000000000000000	0.00000000000000000	4.72923513166691567	0.04745682285469626	0.00000000000000000	3.11334404803615206	0.00000000000000000	3.82684308563404407	5.06948595000620816	48.30767024289902167
ABCA8	87.11428918417119860	0.00000000000000000	2.30212102932018858	4.86401558645298060	8.27937112133446007	0.00000000000000000	4.75588558052562504	0.00000000000000000	0.00000000000000000	3.41368517050326803	16.67456052895818885	9.99422354606386776	3.24209660307089909	2.46221562015689921	45.89210916659722983	1.45066208403406605	0.00000000000000000	8.47838456903869542	0.00000000000000000	2.09654260932119785
ABCB1	0.00000000000000000	1.28880913163768129	101.67916417264302709	35.43177856793757741	40.67915109568568255	126.86578290351016562	45.97899663014884908	400.30738388236875380	73.72804074334007396	2.46362965802521616	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	32.24960861102865550	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
ABCB10	7.98303520590064952	12.66731969868349594	7.51948121847466577	7.58102942377499289	7.91276273701452570	13.46936995902083822	7.52529955386395777	0.00000000000000000	0.00000000000000000	21.15610695616861037	5.44860616265718711	9.17411213669178593	0.00000000000000000	0.00000000000000000	4.70156873528919661	15.29241226677491028	136.36962820801863927	5.87868772115173410	38.55879710842145869	3.85048587501376005
