"","ensembl","tissue","rank","nCPM_1","nCPM_2","nCPM_ratio"
"1179","ENSG00000180432.5","female_placenta",1,2.31456707752223,0.0893266391230178,25.911274623628
"1273","ENSG00000144820.7","female_placenta",1,1.72645624092138,0.0117926349942709,146.401227695093
"1611","ENSG00000138755.5","female_placenta",1,4.79784673583091,1.28204018823465,3.74235283718951
"2208","ENSG00000180113.15","female_placenta",1,1.10761384403639,0.168343807382977,6.57947483340805
"3024","ENSG00000165023.6","female_placenta",1,1.55098095602122,0.516948484475283,3.0002621201134
"3938","ENSG00000083782.7","female_placenta",1,2.13690456797205,0.579039475802052,3.69042985370235
"5145","ENSG00000118271.10","female_placenta",1,3.95070931309223,1.20879027995763,3.26831657947374
"6015","ENSG00000198695.2","female_placenta",1,29.3956191186264,9.64719141640822,3.04706497982713
