"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_lung_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_lung_DESq","nCPM_ratio_DESq"
"28","ENSG00000091513.15","female_muscle",3.11945493544544,0.728030639908018,4.28478523354397,"female_muscle",3.07192579491376,0.792585937732882,3.87582676990298
"29","ENSG00000127241.16","female_muscle",13.8425591742869,1.8135695762052,7.63276984567183,"female_muscle",11.9990774205806,2.22365665946534,5.39610167311786
"30","ENSG00000156475.18","female_muscle",6.19353898403596,0.326270255813903,18.9828489531961,"female_muscle",5.17068351455812,0.293063491908582,17.6435607208661
"31","ENSG00000197977.3","female_muscle",3.83263963223603,0.874765992709892,4.38133130937463,"female_muscle",3.58877087767882,0.931228536780686,3.85380251563748
"32","ENSG00000106588.10","female_muscle",3.94170549639122,1.0687655651387,3.68809178080104,"female_muscle",4.07695857776501,1.350367013837,3.01914852480033
"33","ENSG00000166136.15","female_muscle",4.82801528422046,0.414725267047487,11.6414785108033,"female_muscle",4.8384868702465,0.527043782585679,9.18042680725473
"34","ENSG00000134825.15","female_muscle",19.5880837753839,5.25356542517626,3.72853142391897,"female_muscle",19.6894990255756,5.50255117050588,3.57824914579857
"35","ENSG00000151366.12","female_muscle",14.2516571623236,2.5309691229309,5.63090913800638,"female_muscle",14.4706278976471,3.02843863312868,4.77824702780835
"36","ENSG00000257727.5","female_muscle",3.1245076890785,0.797080061523757,3.91994209854586,"female_muscle",3.10890156763353,0.962839249507789,3.22888952566363
"37","ENSG00000176894.9","female_muscle",1.37091131699848,0.231598047745579,5.9193561014145,"female_muscle",1.39001832696377,0.208166482583895,6.67743581824498
"38","ENSG00000167524.14","female_muscle",4.29993137578932,0.753281835698873,5.70826372283352,"female_liver",3.45478557036826,0.85668999156355,4.03271382225782
"39","ENSG00000153391.15","female_muscle",5.57879189978824,1.5789528323794,3.53322264312436,"female_muscle",5.59570207004519,1.6249659078533,3.44358121176679
"40","ENSG00000174886.12","female_muscle",5.22041234152858,0.980375511240463,5.32491099754545,"female_muscle",5.16268974592507,1.1136312581167,4.63590592334474
"41","ENSG00000229833.9","female_muscle",1.49676082027753,0.423865277435213,3.53121829024154,"female_muscle",1.44730890706972,0.412237891645876,3.5108585028205
"42","ENSG00000105393.15","female_muscle",10.5818213471108,2.82798842273251,3.74181918923354,"female_muscle",10.6935379866964,3.26600123119485,3.27419900658893
"43","ENSG00000205155.7","female_muscle",5.08918976254568,0.626155054434154,8.12768295409625,"female_muscle",4.99723342544507,0.631521823248141,7.91300196047466
"44","ENSG00000105723.11","female_muscle",10.871721841828,2.94774427774867,3.68814958743003,"female_muscle",11.1513826860048,3.23642273659637,3.4455890325787
"45","ENSG00000256060.2","female_muscle",2.92114336907943,0.873933035378987,3.34252540048753,"female_muscle",3.04387364689029,0.999351021231007,3.04585033909389
"46","ENSG00000149600.11","female_muscle",10.7958823762556,3.39941236706352,3.17580840761055,"female_muscle",10.9793972608839,3.53170020078796,3.10881349963802
"47","ENSG00000102030.15","female_muscle",7.64995668953631,1.83015856607229,4.17994201778587,"female_muscle",7.4433982511016,1.68744083985433,4.41105730956717
"48","ENSG00000198899.2","female_muscle",648.619713501223,51.9417185707176,12.4874519239894,"female_muscle",671.251444885988,53.1266591887049,12.6349267041565
"49","ENSG00000198938.2","female_muscle",1378.60813756186,340.658014107454,4.04689771110744,"female_muscle",1408.87812468999,469.273013133345,3.00225686383047
"50","ENSG00000198840.2","female_muscle",231.426488519032,23.6331186736476,9.79246504512699,"female_muscle",239.172930885809,41.482066888237,5.7656946441507
"51","ENSG00000117632.22","female_placenta",93.278248710781,28.8799321290877,3.22986384780426,"female_placenta",96.4212070991024,30.3574322946613,3.17619771537987
"52","ENSG00000183615.5","female_placenta",1.53317923321631,0.449066680912214,3.41414604642205,"female_muscle",1.37674151953565,0.449303268871739,3.06416982674716
"53","ENSG00000134184.12","female_placenta",3.32217626081345,0,Inf,"female_placenta",3.50814173825998,0,Inf
"54","ENSG00000248487.8","female_placenta",1.74419546012605,0.508958931633826,3.42698664217749,"female_placenta",1.80734458604019,0.52212719330495,3.46150250210125
"55","ENSG00000169282.17","female_placenta",3.28105863889255,0.256666690704634,12.783344149118,"female_liver",2.80688538144661,0.285273827761187,9.83926707709182
"56","ENSG00000175193.13","female_placenta",2.95934111716885,0.442069224727887,6.69429345367901,"female_placenta",3.06316098645127,0.550421137321923,5.56512237403363
"57","ENSG00000164128.6","female_placenta",1.4577410845998,0.0954866305841239,15.2664417592526,"female_placenta",1.53115857613671,0.125668958082266,12.1840635866049
"58","ENSG00000124614.15","female_placenta",1.07897496520926,0.213657683283784,5.05001715185756,"female_placenta",1.11113354332171,0.25946073729805,4.28247277369492
"59","ENSG00000135547.8","female_placenta",2.48994833312455,0.677148120870359,3.67711030479438,"female_liver",2.22490999017571,0.709138302377552,3.1374838768632
"60","ENSG00000055118.14","female_placenta",4.15554799488531,1.03896767359508,3.99968940371947,"female_placenta",4.37448556112894,1.36619092452489,3.20195770781468
"61","ENSG00000149806.10","female_placenta",105.752369972159,31.5817118581908,3.3485319113483,"female_placenta",108.973513736397,33.8899265505414,3.21551342325515
